Model,Segment,Spearman Correlation Coefficient between Max Frequency and LL,P-value,Mean ESM LL below 0.1,Mean ESM LL above 0.99,Difference in LL ESM Means
650M,HA,0.10626839230891497,1.407745280103308e-10,-103.06879141976657,-96.51938382485756,6.549407594909013
650M,MP,0.0744761856952282,0.015009603526156958,-115.31876433841767,-115.08020671363016,0.23855762478750364
650M,NA,0.09538049714759786,0.0013537552506341954,-166.2826379724451,-165.922240129606,0.3603978428390917
650M,NP,0.2928003935011046,4.34998355840438e-23,-228.74948941106382,-227.930925862173,0.8185635488908076
650M,NS,0.2257632775134791,1.2003043936992103e-13,-112.41979913763662,-112.00147906939189,0.418320068244725
650M,PA,0.22995503566948777,7.175021532093199e-15,-351.0634014295495,-350.7105699018999,0.35283152764964143
650M,PB1,0.2928661444842799,1.5000062404931922e-23,-88.20744053270451,-84.00915686035157,4.198283672352943
650M,PB2,-0.2108646443989689,8.983858739908259e-13,-245.09223707044447,-246.66804474765814,-1.5758076772136747
Fine_Tune_650M,HA,0.3623224883909746,6.529093494149402e-113,-89.29555520141413,-81.44755353425678,7.848001667157348
Fine_Tune_650M,MP,0.29601426736655717,5.312363411176017e-23,-98.45046068625476,-97.95337914031686,0.49708154593790255
Fine_Tune_650M,NA,0.3981262660062166,4.50317587531156e-44,-192.0926086425781,-154.88597407303456,37.20663456954355
Fine_Tune_650M,NP,0.3056861004087142,4.0706119593509214e-25,-96.14986863343611,-93.07985507236438,3.0700135610717325
Fine_Tune_650M,NS,0.45491374877673896,5.813494437160466e-55,-68.75630963434938,-42.441331227620445,26.314978406728933
Fine_Tune_650M,PA,0.3090426459731399,3.8052974135923405e-26,-163.4180439658787,-161.22893246737394,2.189111498504758
Fine_Tune_650M,PB1,0.3177940481087985,1.1810075885680996e-27,-38.768067193409756,-28.56263621520996,10.205430978199796
Fine_Tune_650M,PB2,0.44014602593150115,1.6623105337750695e-54,-115.30484643884607,-96.87447757165408,18.430368867191987
