Cluster ID	Cluster Name	Types	Size	Organisms	Length	Identity
UniRef50_A0A023ITA4	Cluster: Nucleocapsid protein	UniProtKB Unreviewed (TrEMBL)	4	Influenza A virus (A/Kazan/CRIE-01/2012(H1N1); Influenza A virus (A/Italy/02/2009(H1N1); Influenza A virus; Influenza A virus (A/Aarhus/INS611/2011)	83	0.5
UniRef50_A0A023ITM5	Cluster: Nucleocapsid protein	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Kazan/CRIE-01/2012(H1N1)	56	0.5
UniRef50_A0A023LT90	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	15	Influenza A virus (A/mallard/Saskatchewan/68/1981(H4N6); Influenza A virus; Influenza B virus (B/Tasmania/3/2014); Influenza A virus (A/chicken/Menofia/CAI34/2010(H5N1); Influenza A virus (A/chicken/Jilin/hn/2003(H5N1)	565	0.5
UniRef50_A0A023M5J1	Cluster: Putative PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	8	Influenza A virus (A/green-winged teal/Wisconsin/585/1983(H1N1); Influenza A virus (A/swine/Taichung/E3/1992(H1N1); Influenza A virus (A/swine/Chiba/1/1991(H1N2); Influenza A virus	52	0.5
UniRef50_A0A024D408	Cluster: PB1-F2 protein (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/mallard/Sweden/3463/2003(H6N2); Influenza A virus (A/whimbrel/Peru/P41/2007(H13N2)	39	0.5
UniRef50_A0A024E2L4	Cluster: Polymerase PB2	UniProtKB Unreviewed (TrEMBL)	4	Influenza A virus (A/Houston/JMM_42/2012(H3N2); Influenza A virus; Influenza A virus (A/reassortant/NYMC X-197(Brisbane/11/2010 x PuertoRico/8/1934)	759	0.5
UniRef50_A0A067XNA6	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/mallard/Finland/10940/2009(H9N2); Influenza A virus (A/teal/Norway/500/05(H9N2); Influenza A virus (A/mallard/Norway/685/05(H9N2)	148	0.5
UniRef50_A0A075LZB6	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Rio Grande do Sul/1062/2011(H1N1)	209	0.5
UniRef50_A0A075M116	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Rio Grande do Sul/1616/2012(H1N1)	209	0.5
UniRef50_A0A0A1CG39	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	20	Influenza A virus (A/Rio Grande do Norte/130380-IEC/2014(H3N2); Influenza A virus (A/Para/128614-IEC/2014(H3N2); Influenza A virus (A/Para/130651-IEC/2014(H3N2); Influenza A virus (A/Rio Grande do Norte/130815-IEC/2014(H3N2); Influenza A virus (A/Paraiba/130821-IEC/2014(H3N2); Influenza A virus (A/Para/129011-IEC/2014(H3N2); Influenza A virus (A/Para/128960-IEC/2014(H3N2); Influenza A virus (A/Para/129788-IEC/2014(H3N2); Influenza A virus (A/Para/129434-IEC/2014(H3N2); Influenza A virus (A/Paraiba/130817-IEC/2014(H3N2)	182	0.5
