Cluster ID	Cluster Name	Types	Size	Organisms	Length	Identity
UniRef90_A0A023H8X2	Cluster: Matrix protein 2 (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Korea/GG2/2007(H7N7)	97	0.9
UniRef90_A0A023HLP5	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza B virus (B/Lebanon/10L-47/2011); Influenza B virus (B/Lebanon/10L-37/2011)	414	0.9
UniRef90_A0A023HLQ3	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/Lebanon/10L-38/2011(H1N1); Influenza A virus (A/Lebanon/10L-34/2011(H1N1)	326	0.9
UniRef90_A0A023HM68	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza B virus (B/Lebanon/10L-11/2011)	414	0.9
UniRef90_A0A023HSA5	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/red-crested pochard/Mongolia/463V/2009(H3N1)	90	0.9
UniRef90_A0A023HSB2	Cluster: Putative PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/common teal/Mongolia/2271/2011(H3N8)	52	0.9
UniRef90_A0A023IT01	Cluster: Nucleocapsid protein	UniProtKB Unreviewed (TrEMBL)	9	Influenza A virus (A/Kazan/CRIE-03/2013(H1N1); Influenza A virus (A/duck/Vietnam/OIE-3061/2012(H6N2); Influenza A virus (A/mallard/Sweden/85/2002(H7N7); Influenza A virus (A/duck/Vietnam/OIE-3241/2012(H3N8); Influenza A virus (A/duck/Vietnam/OIE-3406/2012(H3N8); Influenza A virus (A/muscovy duck/Vietnam/OIE-0043/2012(H5N1); Influenza A virus (A/swine/Hong Kong/644/1993(H1N1); Influenza A virus (A/duck/Vietnam/OIE-3479/2012(H6N2); Influenza A virus (A/whooper swan/Hokkaido/2/2008(H5N1)	319	0.9
UniRef90_A0A023ITA4	Cluster: Nucleocapsid protein	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Kazan/CRIE-01/2012(H1N1)	83	0.9
UniRef90_A0A023ITM5	Cluster: Nucleocapsid protein	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Kazan/CRIE-01/2012(H1N1)	56	0.9
UniRef90_A0A023J9I1	Cluster: Neuraminidase	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/pigeon/Shanghai/JC1/2013(H9N2)	466	0.9
UniRef90_A0A023LN75	Cluster: RNA-directed RNA polymerase catalytic subunit	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Odense/INS3_631/2009)	757	0.9
UniRef90_A0A023LPB7	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	12	Influenza A virus (A/Sheffield/INS3_696/2011(H1N1); Influenza A virus (A/Uruguay/108/2011(H1N1); Influenza A virus (A/Uruguay/154/2011(H1N1); Influenza A virus (A/Uruguay/90/2011(H1N1); Influenza A virus (A/Habana/77/2013(H1N1); Influenza A virus (A/Habana/93/2013(H1N1); Influenza A virus (A/Habana/96/2013(H1N1); Influenza A virus (A/Habana/90/2013(H1N1); Influenza A virus (A/Habana/88/2013(H1N1); Influenza A virus (A/Habana/76/2013(H1N1)	372	0.9
UniRef90_A0A023LPC4	Cluster: Polymerase basic protein 2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Sheffield/INS3_696/2011(H1N1)	759	0.9
UniRef90_A0A023LPJ2	Cluster: Polymerase basic protein 2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/Netherlands/602-7B2LP2/2009(H1N1)	759	0.9
UniRef90_A0A023LQ33	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	5	Influenza A virus (A/Netherlands/602-7B2LP1/2009(H1N1); Influenza A virus (A/Netherlands/602-6F12LP2/2009(H1N1); Influenza A virus (A/swine/Manitoba/01729/2007(N2); Influenza A virus (A/reassortant/IVR147(Brisbane/10/2007 x PuertoRico/8/1934); Influenza A virus (A/equine/Sao_Paulo/8.FMVZ/2015(H3N8)	118	0.9
UniRef90_A0A023LQE3	Cluster: PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/Netherlands/602-7B2LP1/2009(H1N1); Influenza A virus (A/Netherlands/602-6F12LP2/2009(H1N1)	56	0.9
UniRef90_A0A023LR92	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	8	Influenza A virus (A/mallard/Wisconsin/2269/1984(H11N9); Influenza A virus (A/mallard/Wisconsin/2256/1984(H11N9); Influenza A virus (A/mallard/Wisconsin/2293/1984(H11N9); Influenza A virus (A/duck/Wisconsin/2550/1985(H11N9); Influenza A virus (A/mallard/Wisconsin/2281/1984(H11N9); Influenza A virus (A/mallard duck/Alberta/321/1988(H9N2); Influenza A virus (A/northern pintail/InteriorAlaska/10BM08514R0/2010(H4N6); Influenza A virus (A/mallard/Ohio/48/1986(H3N2)	90	0.9
UniRef90_A0A023LT90	Cluster: RNA-directed RNA polymerase catalytic subunit (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Saskatchewan/68/1981(H4N6)	565	0.9
UniRef90_A0A023LTU2	Cluster: Hemagglutinin (Fragment)	UniProtKB Unreviewed (TrEMBL)	3	Influenza A virus (A/mallard/Saskatchewan/68/1981(H4N6); Influenza A virus (A/Anas querquedula/Astrakhan/3091/2002(H4N8); Influenza A virus (A/Anas crecca/Astrakhan/646/1987(H4N3)	245	0.9
UniRef90_A0A023LTV4	Cluster: Polymerase basic protein 2 (Fragment)	UniProtKB Unreviewed (TrEMBL)	2	Influenza A virus (A/mallard/Saskatchewan/68/1981(H4N6); Influenza A virus (A/mallard/Jiangxi/1-19/2010(H3N2)	705	0.9
UniRef90_A0A023LXE0	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Wisconsin/232/1976(H5N2)	90	0.9
UniRef90_A0A023LYK0	Cluster: Polymerase basic protein 2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Minnesota/51/1975(H6N2)	759	0.9
UniRef90_A0A023LZB2	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/mallard/Alabama/847/1975(H5N2)	87	0.9
UniRef90_A0A023M0K2	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	10	Influenza A virus (A/mallard/Saskatchewan/1/1982(H3N8); Influenza A virus (A/blue-winged teal/Saskatchewan/11/1982(H4N8); Influenza A virus (A/mallard/Wisconsin/515/1981(H2N3); Influenza A virus (A/mallard/Wisconsin/455/1979(H10N7); Influenza A virus (A/blue-winged teal/Wisconsin/331/1981(H3N2); Influenza A virus (A/blue-winged teal/Wisconsin/336/1976(H1N1); Influenza A virus (A/mallard/Wisconsin/214/1977(H12N2); Influenza A virus (A/mallard/Alberta/663/1979(H3N5); Influenza A virus (A/pintail duck/ALB/628/1979(H6N8); Influenza A virus (A/blue goose/WI/711/1975(H5N2)	90	0.9
UniRef90_A0A023M135	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/widgeon/Wisconsin/208/1978(mixed)	57	0.9
UniRef90_A0A023M1S8	Cluster: Putative PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/green-winged teal/Wisconsin/16/1974(H6N2)	52	0.9
UniRef90_A0A023M2P4	Cluster: Polymerase basic protein 2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Minnesota/38/1974(mixed)	759	0.9
UniRef90_A0A023M319	Cluster: Polymerase basic protein 2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Minnesota/7/1975(H6N2)	759	0.9
UniRef90_A0A023M3M6	Cluster: Polymerase PB2	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/duck/Minnesota/36/1975(H3N2)	759	0.9
UniRef90_A0A023M438	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	8	Influenza A virus (A/duck/Minnesota/3/1975(H3N8); Influenza A virus (A/duck/Minnesota/23/1975(mixed); Influenza A virus (A/duck/Minnesota/12/1975(H3N8); Influenza A virus; Influenza A virus (A/mallard/Alberta/49/1976(H7N3); Influenza A virus (A/mallard duck/ALB/48/1976(H7N3); Influenza A virus (A/mallard/Wisconsin/13/1974(H6N8); Influenza A virus (A/turkey/CO/118899/1972(H5N2)	90	0.9
UniRef90_A0A023M5J1	Cluster: Putative PB1-F2 protein	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/green-winged teal/Wisconsin/585/1983(H1N1)	52	0.9
UniRef90_A0A023PTM3	Cluster: Protein PB1-F2	UniProtKB Unreviewed (TrEMBL)	150	Influenza A virus (A/chicken/Bangladesh/18301/2012(H9N2); Influenza A virus (A/environment/Bangladesh/18315/2012(H9N2); Influenza A virus (A/environment/Bangladesh/18311/2012(H9N2); Influenza A virus (A/environment/Bangladesh/18317/2012(H9N2); Influenza A virus (A/chicken/Bangladesh/18283/2012(H9N2); Influenza A virus (A/chicken/Bangladesh/18276/2012(H9N2); Influenza A virus (A/chicken/Bangladesh/5209/2009(H9N2); Influenza A virus (A/environment/Bangladesh/5745/2010(H9N2); Influenza A virus (A/chicken/India/01CA06/2012(H5N1); Influenza A virus (A/chicken/India/01CA03/2012(H5N1)	90	0.9
UniRef90_A0A023PTP8	Cluster: Neuraminidase (Fragment)	UniProtKB Unreviewed (TrEMBL)	1	Influenza A virus (A/chicken/Bangladesh/19145/2013(H9N2)	354	0.9
